prop,cu_high,cu_low
0.41400000000000003,1791.8142936318613,1592.2763716111194
0.41500000000000004,1792.2510701290519,1592.598708009161
0.41600000000000004,1792.6876061479736,1592.9208669368047
0.41700000000000004,1793.123904820807,1593.2428507055654
0.418,1793.5599692683907,1593.5646616185893
0.419,1793.9958026003942,1593.8863019707792
0.42,1794.4314079154872,1594.20777404892
0.421,1794.8667883015073,1594.5290801318035
0.422,1795.3019468356276,1594.8502224903502
0.423,1795.7368865845222,1595.171203387733
0.424,1796.17161060453,1595.4920250794974
0.425,1796.6061219418193,1595.812689813683
0.426,1797.0404236325467,1596.1331998309413
0.427,1797.4745187030203,1596.4535573646554
0.428,1797.9084101698575,1596.7737646410565
0.429,1798.3421010401435,1597.0938238793415
0.43,1798.7755943115872,1597.4137372917878
0.431,1799.208892972678,1597.7335070838687
0.432,1799.6420000028404,1598.0531354543673
0.433,1800.074918372586,1598.37262459549
0.434,1800.5076510436666,1598.6919766929777
0.435,1800.9402009692262,1599.0111939262194
0.436,1801.3725710939495,1599.330278468361
0.437,1801.8047643542127,1599.6492324864166
0.438,1802.2367836782296,1599.968058141377
0.439,1802.668631986201,1600.2867575883192
0.44,1803.100312190459,1600.6053329765132
0.441,1803.531827195613,1600.9237864495299
0.442,1803.9631798986934,1601.2421201453467
0.443,1804.3943731892957,1601.5603361964543
0.444,1804.8254099497224,1601.878436729961
0.445,1805.2562930551242,1602.1964238676978
0.446,1805.687025373641,1602.5142997263213
0.447,1806.117609766542,1602.8320664174173
0.448,1806.5480490883647,1603.1497260476042
0.449,1806.9783461870518,1603.4672807186334
0.45,1807.4085039040904,1603.7847325274922
0.451,1807.8385250746478,1604.1020835665038
0.452,1808.2684125277071,1604.4193359234275
0.453,1808.698169086203,1604.7364916815588
0.454,1809.1277975671555,1605.053552919829
0.455,1809.5573007818043,1605.3705217129022
0.456,1809.9866815357414,1605.6874001312758
0.457,1810.4159426290435,1606.0041902413768
0.458,1810.8450868564037,1606.3208941056587
0.459,1811.2741170072632,1606.6375137826992
0.46,1811.7030358659406,1606.9540513272964
0.461,1812.1318462117633,1607.2705087905633
0.462,1812.5605508191952,1607.5868882200252
0.463,1812.9891524579662,1607.9031916597135
0.464,1813.4176538932006,1608.21942115026
0.465,1813.846057885544,1608.5355787289916
0.466,1814.274367191291,1608.851666430025
0.467,1814.702584562512,1609.167686284358
0.468,1815.1307127471778,1609.4836403199645
0.46900000000000003,1815.5587544892874,1609.799530561886
0.47000000000000003,1815.9867125289916,1610.115359032325
0.47100000000000003,1816.4145896027178,1610.4311277507352
0.47200000000000003,1816.8423884432955,1610.746838733916
0.47300000000000003,1817.2701117800784,1611.0624939961015
0.47400000000000003,1817.6977623390696,1611.3780955490524
0.47500000000000003,1818.1253428430434,1611.6936454021472
0.47600000000000003,1818.5528560116682,1612.0091455624727
0.47700000000000004,1818.9803045616297,1612.3245980349136
0.47800000000000004,1819.4076912067521,1612.640004822243
0.47900000000000004,1819.8350186581197,1612.9553679252128
0.48000000000000004,1820.2622896241987,1613.2706893426418
0.481,1820.6895068109584,1613.5859710715065
0.482,1821.116672921991,1613.9012151070294
0.483,1821.5437906586335,1614.2164234427678
0.484,1821.9708627200866,1614.5315980707037
0.485,1822.3978918035357,1614.8467409813306
0.486,1822.8248806042698,1615.1618541637436
0.487,1823.2518318158018,1615.476939605726
0.488,1823.6787481299875,1615.791999293839
0.489,1824.1056322371448,1616.1070352135084
0.49,1824.5324868261725,1616.4220493491127
0.491,1824.9593145846693,1616.7370436840715
0.492,1825.3861181990526,1617.052020200932
0.493,1825.8129003546767,1617.366980881457
0.494,1826.2396637359516,1617.6819277067123
0.495,1826.6664110264608,1617.996862657154
0.496,1827.09314490908,1618.311787712716
0.497,1827.5198680660947,1618.6267048528962
0.498,1827.9465831793188,1618.9416160568449
0.499,1828.3732929302125,1619.2565233034506
0.5,1828.8,1619.5714285714287
0.501,1829.2267070697874,1619.8863338394067
0.502,1829.653416820681,1620.2012410860125
0.503,1830.0801319339052,1620.5161522899612
0.504,1830.50685509092,1620.8310694301413
0.505,1830.9335889735391,1621.1459944857033
0.506,1831.3603362640483,1621.460929436145
0.507,1831.7870996453232,1621.7758762614003
0.508,1832.2138818009473,1622.0908369419253
0.509,1832.6406854153306,1622.4058134587858
0.51,1833.0675131738274,1622.7208077937446
0.511,1833.494367762855,1623.035821929349
0.512,1833.9212518700124,1623.3508578490184
0.513,1834.3481681841981,1623.6659175371312
0.514,1834.7751193957301,1623.9810029791138
0.515,1835.2021081964642,1624.2961161615267
0.516,1835.6291372799133,1624.6112590721536
0.517,1836.0562093413664,1624.9264337000895
0.518,1836.4833270780089,1625.241642035828
0.519,1836.9104931890415,1625.5568860713508
0.52,1837.3377103758012,1625.8721678002155
0.521,1837.7649813418802,1626.1874892176445
0.522,1838.192308793248,1626.5028523206142
0.523,1838.6196954383702,1626.8182591079437
0.524,1839.0471439883318,1627.1337115803847
0.525,1839.4746571569567,1627.44921174071
0.526,1839.9022376609303,1627.764761593805
0.527,1840.3298882199215,1628.0803631467559
0.528,1840.7576115567044,1628.3960184089412
0.529,1841.185410397282,1628.7117293921222
0.53,1841.6132874710083,1629.0274981105324
0.531,1842.0412455107125,1629.3433265809713
0.532,1842.4692872528221,1629.6592168228929
0.533,1842.897415437488,1629.9751708584993
0.534,1843.3256328087089,1630.2911907128323
0.535,1843.7539421144559,1630.6072784138657
0.536,1844.1823461067993,1630.9234359925977
0.537,1844.6108475420338,1631.2396654831439
0.538,1845.0394491808047,1631.555968922832
0.539,1845.4681537882366,1631.872348352294
0.54,1845.8969641340593,1632.188805815561
0.541,1846.3258829927368,1632.5053433601581
0.542,1846.7549131435962,1632.8219630371987
0.543,1847.1840573709567,1633.1386669014805
0.544,1847.6133184642586,1633.4554570115815
0.545,1848.0426992181956,1633.772335429955
0.546,1848.4722024328444,1634.0893042230286
0.547,1848.9018309137969,1634.4063654612985
0.548,1849.3315874722928,1634.7235212194298
0.549,1849.761474925352,1635.0407735763536
0.55,1850.1914960959095,1635.3581246153651
0.551,1850.6216538129484,1635.675576424224
0.552,1851.0519509116355,1635.9931310952531
0.553,1851.4823902334579,1636.31079072544
0.554,1851.9129746263588,1636.628557416536
0.555,1852.3437069448757,1636.9464332751595
0.556,1852.7745900502775,1637.2644204128962
0.557,1853.2056268107042,1637.582520946403
0.558,1853.6368201013065,1637.9007369975106
0.559,1854.0681728043871,1638.2190706933275
0.56,1854.499687809541,1638.5375241663442
0.561,1854.9313680137989,1638.856099554538
0.562,1855.3632163217703,1639.1747990014803
0.5630000000000001,1855.7952356457872,1639.4936246564407
0.5640000000000001,1856.2274289060504,1639.8125786744963
0.5650000000000001,1856.6597990307737,1640.131663216638
0.5660000000000001,1857.0923489563334,1640.4508804498796
0.5670000000000001,1857.525081627414,1640.7702325473674
0.5680000000000001,1857.9579999971595,1641.08972168849
0.5690000000000001,1858.3911070273218,1641.4093500589888
0.5700000000000001,1858.824405688413,1641.7291198510695
0.5710000000000001,1859.2578989598567,1642.0490332635159
0.5720000000000001,1859.6915898301424,1642.3690925018009
0.5730000000000001,1860.1254812969796,1642.689299778202
0.5740000000000001,1860.5595763674532,1643.009657311916
0.5750000000000001,1860.9938780581808,1643.3301673291744
0.5760000000000001,1861.4283893954698,1643.65083206336
0.5770000000000001,1861.8631134154778,1643.9716537551244
0.578,1862.2980531643723,1644.292634652507
0.579,1862.7332116984926,1644.6137770110538
0.58,1863.1685920845127,1644.9350830939372
0.581,1863.6041973996057,1645.2565551720782
0.582,1864.0400307316092,1645.578195524268
0.583,1864.476095179193,1645.900006437292
0.584,1864.9123938520263,1646.2219902060526
0.585,1865.348929870948,1646.5441491336962
0.586,1865.7857063681386,1646.866485531738
0.587,1866.2227264872915,1647.1890017201906
0.588,1866.6599933837883,1647.5117000276919
0.589,1867.0975102248733,1647.8345827916344
0.59,1867.535280189832,1648.1576523582971
0.591,1867.973306470169,1648.4809110829758
0.592,1868.4115922697877,1648.8043613301174
0.593,1868.8501408051739,1649.1280054734543
0.594,1869.2889553055777,1649.4518458961386
0.595,1869.7280390131998,1649.7758849908796
0.596,1870.1673951833786,1650.1001251600826
0.597,1870.6070270847779,1650.4245688159863
0.598,1871.0469379995777,1650.749218380805
0.599,1871.4871312236676,1651.0740762868695
0.6,1871.9276100668392,1651.3991449767711
0.601,1872.368377852983,1651.7244269035057
0.602,1872.8094379202864,1652.0499245306198
0.603,1873.2507936214329,1652.3756403323578
0.604,1873.6924483238038,1652.7015767938117
0.605,1874.1344054096826,1653.0277364110705
0.606,1874.5766682764604,1653.3541216913723
0.607,1875.0192403368428,1653.680735153258
0.608,1875.462125019062,1654.0075793267258
0.609,1875.9053257670862,1654.334656753388
0.61,1876.3488460408355,1654.6619699866285
0.611,1876.7926893163983,1654.9895215917634
0.612,1877.2368590862493,1655.317314146202
0.613,1877.68135885947,1655.6453502396091
0.614,1878.126192161974,1655.973632474071
0.615,1878.5713625367298,1656.3021634642612
0.616,1879.0168735439916,1656.6309458376088
0.617,1879.4627287615274,1656.9599822344687
0.618,1879.9089317848536,1657.2892753082938
0.619,1880.35548622747,1657.618827725808
0.62,1880.8023957210974,1657.948642167183
0.621,1881.2496639159185,1658.2787213262143
0.622,1881.697294480822,1658.6090679105027
0.623,1882.1452911036472,1658.9396846416348
0.624,1882.593657491434,1659.270574255366
0.625,1883.042397370674,1659.6017395018075
0.626,1883.4915144875652,1659.9331831456134
0.627,1883.9410126082682,1660.2649079661703
0.628,1884.3908955191682,1660.59691675779
0.629,1884.8411670271373,1660.9292123299035
0.63,1885.2918309598003,1661.2617975072571
0.631,1885.7428911658058,1661.5946751301124
0.632,1886.1943515150963,1661.9278480544456
0.633,1886.6462158991865,1662.2613191521534
0.634,1887.0984882314406,1662.5950913112563
0.635,1887.551172447355,1662.9291674361093
0.636,1888.0042725048443,1663.263550447611
0.637,1888.4577923845309,1663.5982432834178
0.638,1888.911736090036,1663.9332488981602
0.639,1889.3661076482776,1664.2685702636604
0.64,1889.8209111097694,1664.604210369154
0.641,1890.276150548924,1664.9401722215146
0.642,1890.7318300643608,1665.2764588454795
0.643,1891.1879537792167,1665.6130732838794
0.644,1891.6445258414608,1665.9500185978718
0.645,1892.1015504242132,1666.2872978671744
0.646,1892.5590317260687,1666.6249141903056
0.647,1893.0169739714222,1666.9628706848239
0.648,1893.4753814108008,1667.3011704875728
0.649,1893.934258321199,1667.6398167549285
0.65,1894.3936090064176,1667.9788126630503
0.651,1894.8534377974083,1668.3181614081348
0.652,1895.313749052622,1668.6578662066715
0.653,1895.774547158361,1668.9979302957051
0.654,1896.2358365291375,1669.3383569330986
0.655,1896.6976216080345,1669.6791493978
0.656,1897.1599068670746,1670.020310990114
0.657,1897.6226968075896,1670.3618450319755
0.658,1898.0859959605987,1670.7037548672286
0.659,1898.54980888719,1671.0460438619075
0.66,1899.0141401789074,1671.3887154045224
0.661,1899.4789944581416,1671.7317729063489
0.662,1899.9443763785293,1672.075219801721
0.663,1900.4102906253547,1672.4190595483285
0.664,1900.8767419159578,1672.7632956275181
0.665,1901.3437350001493,1673.1079315445993
0.666,1901.811274660629,1673.4529708291532
0.667,1902.279365713411,1673.7984170353477
0.668,1902.748013008256,1674.1442737422542
0.669,1903.2172214291086,1674.4905445541715
0.67,1903.6869958945392,1674.8372331009523
0.671,1904.157341358195,1675.184343038335
0.672,1904.628262809255,1675.5318780482812
0.673,1905.0997652728934,1675.8798418393153
0.674,1905.5718538107476,1676.2282381468722
0.675,1906.0445335213947,1676.577070733647
0.676,1906.517809540833,1676.926343389952
0.677,1906.991687042973,1677.276059934078
0.678,1907.4661712401319,1677.6262242126593
0.679,1907.9412673835395,1677.9768401010476
0.68,1908.4169807638475,1678.3279115036876
0.681,1908.8933167116493,1678.6794423545
0.682,1909.3702805980051,1679.0314366172704
0.683,1909.8478778349775,1679.3838982860427
0.684,1910.3261138761711,1679.73683138552
0.685,1910.804994217285,1680.0902399714685
0.686,1911.2845243966688,1680.4441281311317
0.687,1911.7647099958904,1680.7984999836474
0.6880000000000001,1912.2455566403107,1681.1533596804716
0.6890000000000001,1912.7270699996675,1681.5087114058103
0.6900000000000001,1913.2092557886679,1681.8645593770568
0.6910000000000001,1913.69211976759,1682.2209078452345
0.6920000000000001,1914.175667742894,1682.5777610954494
0.6930000000000001,1914.659905567842,1682.9351234473465
0.6940000000000001,1915.1448391431293,1683.292999255576
0.6950000000000001,1915.6304744175216,1683.6513929102634
0.6960000000000001,1916.1168173885064,1684.0103088374908
0.6970000000000001,1916.6038741029522,1684.3697514997823
0.6980000000000001,1917.0916506577785,1684.7297253965999
0.6990000000000001,1917.5801532006358,1685.090235064844
0.7000000000000001,1918.0693879305982,1685.4512850793647
0.7010000000000001,1918.5593610988637,1685.8128800534803
0.7020000000000001,1919.0500790094707,1686.1750246395034
0.7030000000000001,1919.5415480200193,1686.5377235292751
0.7040000000000001,1920.0337745424106,1686.9009814547103
0.705,1920.5267650435935,1687.2648031883482
0.706,1921.0205260463263,1687.6291935439149
0.707,1921.5150641299488,1687.9941573768929
0.708,1922.0103859311673,1688.359699585101
0.709,1922.5064981448543,1688.7258251092835
0.71,1923.003407524859,1689.092538933709
0.711,1923.5011208848318,1689.459846086779
0.712,1923.9996450990636,1689.827751641647
0.713,1924.4989871033376,1690.1962607168468
0.714,1924.9991538957966,1690.5653784769331
0.715,1925.500152537823,1690.9351101331313
0.716,1926.001990154936,1691.3054609439982
0.717,1926.5046739377021,1691.6764362160952
0.718,1927.008211142662,1692.0480413046723
0.719,1927.5126090932727,1692.4202816143625
0.72,1928.0178751808662,1692.79316259989
0.721,1928.5240168656242,1693.166689766789
0.722,1929.0310416775699,1693.5408686721369
0.723,1929.5389572175773,1693.9157049252974
0.724,1930.0477711583967,1694.2912041886784
0.725,1930.5574912457002,1694.6673721785035
